ID,Sunday,Saturday,Value of Purchase,Count,Weight,Weighted Spent,Adjusted Weighted Spent
84,,Evening (4pm - 7pm);Night (after 7pm),More than 2000 rupees,1,4,4,7.901293
85,Daytime (11am - 3pm),,500 - 1000 rupees,1,2,2,5.901293
86,Morning (until 11am);Daytime (11am - 3pm);Evening (4pm - 7pm);Night (after 7pm),Morning (until 11am);Daytime (11am - 3pm);Evening (4pm - 7pm);Night (after 7pm),1000 - 2000 rupees,2,3,6,9.901293
87,Night (after 7pm),Evening (4pm - 7pm);Night (after 7pm),1000 - 2000 rupees,2,3,6,9.901293
88,Evening (4pm - 7pm),,Less than 500 rupees,1,1,1,4.901293
89,Daytime (11am - 3pm),Daytime (11am - 3pm),500 - 1000 rupees,2,2,4,7.901293
90,,Evening (4pm - 7pm),More than 2000 rupees,1,4,4,7.901293
91,,Daytime (11am - 3pm),More than 2000 rupees,1,4,4,7.901293
92,,Evening (4pm - 7pm),More than 2000 rupees,1,4,4,7.901293
93,,Evening (4pm - 7pm),Less than 500 rupees,1,1,1,4.901293
94,Evening (4pm - 7pm),Evening (4pm - 7pm),500 - 1000 rupees,2,2,4,7.901293
95,Evening (4pm - 7pm),Morning (until 11am),1000 - 2000 rupees,2,3,6,9.901293
96,,Daytime (11am - 3pm);Night (after 7pm),More than 2000 rupees,1,4,4,7.901293
97,Evening (4pm - 7pm),Evening (4pm - 7pm),500 - 1000 rupees,2,2,4,7.901293
98,,Morning (until 11am),More than 2000 rupees,1,4,4,7.901293
99,Morning (until 11am);Daytime (11am - 3pm),Daytime (11am - 3pm);Evening (4pm - 7pm),500 - 1000 rupees,2,2,4,7.901293
100,Evening (4pm - 7pm);Night (after 7pm),,More than 2000 rupees,1,4,4,7.901293
101,Evening (4pm - 7pm),Evening (4pm - 7pm),Less than 500 rupees,2,1,2,5.901293
102,Daytime (11am - 3pm),Daytime (11am - 3pm),500 - 1000 rupees,2,2,4,7.901293
103,Evening (4pm - 7pm),,500 - 1000 rupees,1,2,2,5.901293
104,Evening (4pm - 7pm),Evening (4pm - 7pm),More than 2000 rupees,2,4,8,11.901293
105,Evening (4pm - 7pm),Morning (until 11am),500 - 1000 rupees,2,2,4,7.901293
106,Evening (4pm - 7pm),,More than 2000 rupees,1,4,4,7.901293
107,,Evening (4pm - 7pm),More than 2000 rupees,1,4,4,7.901293
108,,Evening (4pm - 7pm),1000 - 2000 rupees,1,3,3,6.901293
109,Evening (4pm - 7pm),,More than 2000 rupees,1,4,4,7.901293
110,Morning (until 11am);Evening (4pm - 7pm),Morning (until 11am);Evening (4pm - 7pm),1000 - 2000 rupees,2,3,6,9.901293
111,,Evening (4pm - 7pm),1000 - 2000 rupees,1,3,3,6.901293
112,Daytime (11am - 3pm);Evening (4pm - 7pm),Daytime (11am - 3pm);Evening (4pm - 7pm),More than 2000 rupees,2,4,8,11.901293
113,Evening (4pm - 7pm),,1000 - 2000 rupees,1,3,3,6.901293
114,Evening (4pm - 7pm),Evening (4pm - 7pm),1000 - 2000 rupees,2,3,6,9.901293
115,Evening (4pm - 7pm),Evening (4pm - 7pm),More than 2000 rupees,2,4,8,11.901293
116,Evening (4pm - 7pm),Morning (until 11am),500 - 1000 rupees,2,2,4,7.901293
117,Evening (4pm - 7pm),Morning (until 11am),500 - 1000 rupees,2,2,4,7.901293
118,Morning (until 11am),Evening (4pm - 7pm),More than 2000 rupees,2,4,8,11.901293
119,,Morning (until 11am),Less than 500 rupees,1,1,1,4.901293
120,Evening (4pm - 7pm),Morning (until 11am),More than 2000 rupees,2,4,8,11.901293
121,Morning (until 11am);Evening (4pm - 7pm),Daytime (11am - 3pm),500 - 1000 rupees,2,2,4,7.901293
