"Timestamp","Which days of the week and which times of the day do you go shopping for day-to-day goods? (Choose all that apply from the below grid) [Sunday]","Which days of the week and which times of the day do you go shopping for day-to-day goods? (Choose all that apply from the below grid) [Monday]","Which days of the week and which times of the day do you go shopping for day-to-day goods? (Choose all that apply from the below grid) [Tuesday]","Which days of the week and which times of the day do you go shopping for day-to-day goods? (Choose all that apply from the below grid) [Wednesday]","Which days of the week and which times of the day do you go shopping for day-to-day goods? (Choose all that apply from the below grid) [Thursday]","Which days of the week and which times of the day do you go shopping for day-to-day goods? (Choose all that apply from the below grid) [Friday]","Which days of the week and which times of the day do you go shopping for day-to-day goods? (Choose all that apply from the below grid) [Saturday]","How far do you travel to purchase day-to-day goods? (Choose all that apply)","What type of stores do you most often visit to purchase day-to-day goods? (Choose all that apply)","What is the quantity of day-to-day goods you purchase during a single shopping visit? (Choose the most relevant option)","What is the value of day-to-day goods you purchase during a single shopping visit? (Choose the most relevant option)"
"2018/06/26 2:47:16 PM GMT+5:30","Evening (4pm - 7pm);Night (after 7pm)","Evening (4pm - 7pm);Night (after 7pm)","Evening (4pm - 7pm);Night (after 7pm)","Evening (4pm - 7pm);Night (after 7pm)","Evening (4pm - 7pm);Night (after 7pm)","Evening (4pm - 7pm);Night (after 7pm)","Evening (4pm - 7pm);Night (after 7pm)","Between 1km - 5km","Supermarkets","10 - 20 items","More than 2000 rupees"
"2018/06/26 3:11:10 PM GMT+5:30","Evening (4pm - 7pm)","","","","","","","Between 1km - 5km","Supermarkets","More than 20 items","More than 2000 rupees"
"2018/06/26 3:32:55 PM GMT+5:30","Evening (4pm - 7pm)","","","","","","Evening (4pm - 7pm)","Between 1km - 5km","Supermarkets;Grocery stores","5 - 10 items","More than 2000 rupees"
"2018/06/26 4:10:58 PM GMT+5:30","Evening (4pm - 7pm)","Evening (4pm - 7pm)","Evening (4pm - 7pm)","Evening (4pm - 7pm)","Evening (4pm - 7pm)","Evening (4pm - 7pm)","Evening (4pm - 7pm)","Between 1km - 5km","Supermarkets;Grocery stores","10 - 20 items","1000 - 2000 rupees"
"2018/06/26 4:35:11 PM GMT+5:30","Evening (4pm - 7pm)","Night (after 7pm)","Night (after 7pm)","Night (after 7pm)","Night (after 7pm)","Night (after 7pm)","Evening (4pm - 7pm)","Less than 1km","Supermarkets","5 - 10 items","1000 - 2000 rupees"
"2018/06/26 6:43:51 PM GMT+5:30","Evening (4pm - 7pm)","","","","","","Daytime (11am - 3pm);Evening (4pm - 7pm)","Less than 1km","Supermarkets","5 - 10 items","500 - 1000 rupees"
"2018/06/26 6:50:12 PM GMT+5:30","Daytime (11am - 3pm)","Evening (4pm - 7pm)","Evening (4pm - 7pm)","Evening (4pm - 7pm)","Evening (4pm - 7pm)","Evening (4pm - 7pm)","Daytime (11am - 3pm)","Less than 1km","Supermarkets","5 - 10 items","Less than 500 rupees"
"2018/06/26 8:07:05 PM GMT+5:30","Daytime (11am - 3pm)","","Evening (4pm - 7pm)","","Evening (4pm - 7pm)","","Morning (until 11am)","Between 1km - 5km","Supermarkets;Grocery stores","More than 20 items","More than 2000 rupees"
"2018/06/26 8:52:55 PM GMT+5:30","Evening (4pm - 7pm)","","","","","","","Less than 1km","Supermarkets","5 - 10 items","More than 2000 rupees"
"2018/06/27 4:28:52 AM GMT+5:30","Daytime (11am - 3pm)","","Daytime (11am - 3pm)","","Daytime (11am - 3pm)","Daytime (11am - 3pm)","","Less than 1km;Between 1km - 5km","Supermarkets","Less than 5 items","Less than 500 rupees"
"2018/06/27 9:53:57 AM GMT+5:30","Night (after 7pm)","","","","","","Morning (until 11am)","Less than 1km","Supermarkets;Grocery stores;SAT POLA","More than 20 items","More than 2000 rupees"
"2018/06/27 2:43:21 PM GMT+5:30","","","","","","","","Between 1km - 5km","Supermarkets;Grocery stores","10 - 20 items","More than 2000 rupees"
"2018/06/27 3:11:21 PM GMT+5:30","","","","","","","Evening (4pm - 7pm)","Between 1km - 5km","Supermarkets","5 - 10 items","1000 - 2000 rupees"
"2018/06/27 5:33:20 PM GMT+5:30","Evening (4pm - 7pm)","Night (after 7pm)","Night (after 7pm)","Night (after 7pm)","Night (after 7pm)","Night (after 7pm)","Night (after 7pm)","Less than 1km","Supermarkets","10 - 20 items","1000 - 2000 rupees"
"2018/06/27 7:07:50 PM GMT+5:30","Morning (until 11am);Daytime (11am - 3pm)","","","","","","Morning (until 11am);Daytime (11am - 3pm)","Less than 1km","Grocery stores","Less than 5 items","1000 - 2000 rupees"
"2018/06/27 8:47:22 PM GMT+5:30","Morning (until 11am)","","","","","","Evening (4pm - 7pm)","Between 1km - 5km","Supermarkets;Grocery stores","5 - 10 items","More than 2000 rupees"
"2018/06/27 9:54:25 PM GMT+5:30","Morning (until 11am)","Evening (4pm - 7pm)","","","","Evening (4pm - 7pm)","","Less than 1km;Between 1km - 5km","Supermarkets;Grocery stores","5 - 10 items","1000 - 2000 rupees"
"2018/06/27 10:07:19 PM GMT+5:30","","","","","","Evening (4pm - 7pm)","Evening (4pm - 7pm)","Between 1km - 5km","Supermarkets","5 - 10 items","500 - 1000 rupees"
"2018/06/28 7:42:46 AM GMT+5:30","Evening (4pm - 7pm)","","","","","","Evening (4pm - 7pm)","Less than 1km","Supermarkets","10 - 20 items","More than 2000 rupees"
"2018/06/28 10:17:16 AM GMT+5:30","Evening (4pm - 7pm)","","","","","","Evening (4pm - 7pm)","Less than 1km","Grocery stores","5 - 10 items","Less than 500 rupees"
"2018/06/28 4:27:42 PM GMT+5:30","Daytime (11am - 3pm)","","","","","","","Between 1km - 5km","Supermarkets","5 - 10 items","1000 - 2000 rupees"
"2018/06/28 4:29:26 PM GMT+5:30","Daytime (11am - 3pm)","","","","","","","Less than 1km","Supermarkets","10 - 20 items","More than 2000 rupees"
"2018/06/28 4:57:01 PM GMT+5:30","Morning (until 11am);Daytime (11am - 3pm)","","","","","","Morning (until 11am);Daytime (11am - 3pm)","Less than 1km","Supermarkets","5 - 10 items","1000 - 2000 rupees"
"2018/06/28 7:08:12 PM GMT+5:30","Morning (until 11am)","","","","","","","Less than 1km","Supermarkets","Less than 5 items","Less than 500 rupees"
"2018/06/29 7:46:39 AM GMT+5:30","Morning (until 11am)","","Evening (4pm - 7pm)","","Evening (4pm - 7pm)","Evening (4pm - 7pm)","","Less than 1km","Supermarkets","Less than 5 items","500 - 1000 rupees"
"2018/06/29 2:24:07 PM GMT+5:30","Evening (4pm - 7pm)","Evening (4pm - 7pm)","","","Evening (4pm - 7pm)","","","Less than 1km","Supermarkets","10 - 20 items","More than 2000 rupees"
"2018/06/29 7:55:57 PM GMT+5:30","Daytime (11am - 3pm)","","","","","","Evening (4pm - 7pm)","Between 1km - 5km","Supermarkets","Less than 5 items","More than 2000 rupees"
"2018/06/29 9:01:00 PM GMT+5:30","Morning (until 11am);Evening (4pm - 7pm)","Morning (until 11am);Evening (4pm - 7pm)","Morning (until 11am);Evening (4pm - 7pm)","Morning (until 11am);Evening (4pm - 7pm)","Morning (until 11am);Evening (4pm - 7pm)","Morning (until 11am);Evening (4pm - 7pm)","Morning (until 11am);Evening (4pm - 7pm)","Less than 1km;Between 1km - 5km","Supermarkets;Grocery stores","5 - 10 items","500 - 1000 rupees"
"2018/06/29 9:37:14 PM GMT+5:30","","Evening (4pm - 7pm)","Evening (4pm - 7pm)","Evening (4pm - 7pm)","Evening (4pm - 7pm)","Evening (4pm - 7pm)","","Less than 1km","Supermarkets;Grocery stores","Less than 5 items","500 - 1000 rupees"
"2018/06/30 6:34:30 AM GMT+5:30","Evening (4pm - 7pm)","","","","","","Evening (4pm - 7pm)","Less than 1km;Between 1km - 5km","Grocery stores","Less than 5 items","500 - 1000 rupees"
"2018/06/30 8:26:56 AM GMT+5:30","Morning (until 11am)","","","","","","","Less than 1km","Supermarkets","Less than 5 items","Less than 500 rupees"
"2018/06/30 11:02:25 AM GMT+5:30","Night (after 7pm)","Night (after 7pm)","Night (after 7pm)","Night (after 7pm)","Night (after 7pm)","Night (after 7pm)","Night (after 7pm)","Less than 1km","Supermarkets","Less than 5 items","Less than 500 rupees"
