"Timestamp","Which days of the week and which times of the day do you go shopping for day-to-day goods? (Choose all that apply from the below grid) [Sunday]","Which days of the week and which times of the day do you go shopping for day-to-day goods? (Choose all that apply from the below grid) [Monday]","Which days of the week and which times of the day do you go shopping for day-to-day goods? (Choose all that apply from the below grid) [Tuesday]","Which days of the week and which times of the day do you go shopping for day-to-day goods? (Choose all that apply from the below grid) [Wednesday]","Which days of the week and which times of the day do you go shopping for day-to-day goods? (Choose all that apply from the below grid) [Thursday]","Which days of the week and which times of the day do you go shopping for day-to-day goods? (Choose all that apply from the below grid) [Friday]","Which days of the week and which times of the day do you go shopping for day-to-day goods? (Choose all that apply from the below grid) [Saturday]","How far do you travel to purchase day-to-day goods? (Choose all that apply)","What type of stores do you most often visit to purchase day-to-day goods? (Choose all that apply)","What is the quantity of day-to-day goods you purchase during a single shopping visit? (Choose the most relevant option)","What is the value of day-to-day goods you purchase during a single shopping visit? (Choose the most relevant option)"
"2018/06/25 4:46:51 PM GMT+5:30","Evening (4pm - 7pm)","","","","","","Morning (until 11am);Evening (4pm - 7pm)","Between 1km - 5km","Supermarkets;Market","5 - 10 items","More than 2000 rupees"
"2018/06/25 5:03:23 PM GMT+5:30","","","","","","","Daytime (11am - 3pm)","Between 1km - 5km","Supermarkets","5 - 10 items","500 - 1000 rupees"
"2018/06/25 5:06:29 PM GMT+5:30","","","","","","","Daytime (11am - 3pm)","More than 5km","Supermarkets","10 - 20 items","500 - 1000 rupees"
"2018/06/25 5:11:50 PM GMT+5:30","Night (after 7pm)","Night (after 7pm)","Night (after 7pm)","Night (after 7pm)","Night (after 7pm)","Daytime (11am - 3pm);Evening (4pm - 7pm)","Daytime (11am - 3pm);Evening (4pm - 7pm)","Less than 1km","Supermarkets;Grocery stores","5 - 10 items","1000 - 2000 rupees"
"2018/06/25 5:14:15 PM GMT+5:30","Daytime (11am - 3pm)","Evening (4pm - 7pm)","Evening (4pm - 7pm)","Evening (4pm - 7pm)","Evening (4pm - 7pm)","Evening (4pm - 7pm)","Daytime (11am - 3pm)","Less than 1km;Between 1km - 5km","Supermarkets;Grocery stores","5 - 10 items","1000 - 2000 rupees"
"2018/06/25 5:17:43 PM GMT+5:30","","Morning (until 11am)","","","","","","Less than 1km;Between 1km - 5km","Supermarkets","10 - 20 items","More than 2000 rupees"
"2018/06/25 5:18:23 PM GMT+5:30","Daytime (11am - 3pm);Night (after 7pm)","Night (after 7pm)","Night (after 7pm)","Night (after 7pm)","Night (after 7pm)","Night (after 7pm)","Evening (4pm - 7pm);Night (after 7pm)","Less than 1km","Supermarkets;Grocery stores","Less than 5 items","500 - 1000 rupees"
"2018/06/25 5:25:02 PM GMT+5:30","Daytime (11am - 3pm)","","","Night (after 7pm)","","","Evening (4pm - 7pm)","Less than 1km","Supermarkets","5 - 10 items","1000 - 2000 rupees"
"2018/06/25 5:28:52 PM GMT+5:30","","","","","","","Daytime (11am - 3pm);Night (after 7pm)","Between 1km - 5km","Supermarkets;Grocery stores","5 - 10 items","1000 - 2000 rupees"
"2018/06/25 5:40:47 PM GMT+5:30","Evening (4pm - 7pm)","","","","","","","Less than 1km","Supermarkets","More than 20 items","More than 2000 rupees"
"2018/06/25 6:08:42 PM GMT+5:30","","","","","","Night (after 7pm)","Night (after 7pm)","Less than 1km;Between 1km - 5km","Supermarkets;Grocery stores","5 - 10 items","500 - 1000 rupees"
"2018/06/25 7:36:39 PM GMT+5:30","","","","","","","","Between 1km - 5km","Supermarkets","Less than 5 items","Less than 500 rupees"
"2018/06/25 7:42:40 PM GMT+5:30","","","","","","","Daytime (11am - 3pm)","Between 1km - 5km","Supermarkets;Grocery stores","5 - 10 items","1000 - 2000 rupees"
"2018/06/25 7:45:09 PM GMT+5:30","Daytime (11am - 3pm)","Night (after 7pm)","Night (after 7pm)","Night (after 7pm)","Night (after 7pm)","Night (after 7pm)","Night (after 7pm)","Between 1km - 5km","Supermarkets","10 - 20 items","More than 2000 rupees"
"2018/06/25 7:45:56 PM GMT+5:30","Daytime (11am - 3pm)","Night (after 7pm)","Night (after 7pm)","Night (after 7pm)","Night (after 7pm)","Night (after 7pm)","Daytime (11am - 3pm)","Between 1km - 5km","Supermarkets;Grocery stores","Less than 5 items","500 - 1000 rupees"
"2018/06/25 7:48:04 PM GMT+5:30","Morning (until 11am)","Night (after 7pm)","Night (after 7pm)","Night (after 7pm)","Night (after 7pm)","Night (after 7pm)","Evening (4pm - 7pm)","Between 1km - 5km","Supermarkets","5 - 10 items","1000 - 2000 rupees"
"2018/06/25 7:50:07 PM GMT+5:30","Evening (4pm - 7pm)","","","","","","Daytime (11am - 3pm);Evening (4pm - 7pm)","Between 1km - 5km","Supermarkets;Grocery stores","Less than 5 items","500 - 1000 rupees"
"2018/06/25 7:51:32 PM GMT+5:30","Daytime (11am - 3pm)","","","Morning (until 11am)","Morning (until 11am)","","Daytime (11am - 3pm)","Less than 1km","Supermarkets;Grocery stores","5 - 10 items","500 - 1000 rupees"
